Entry,global_step,lr,test_accuracy,train_log_likelihood
0,25000,0.0056234132,0.8882,-987.932861328125
1,50000,0.0031622776,0.8839,-929.2829895019531
2,75000,0.0017782793,0.8839,-912.2240295410156
3,100000,0.001,0.8804,-899.7255554199219
4,125000,0.0005623413,0.8792,-894.5354919433594
5,150000,0.0003162278,0.877,-891.9441833496094
6,175000,0.00017782794,0.8769,-890.4637145996094
7,200000,0.000100000005,0.8764,-889.6480407714844
8,225000,5.6234137e-05,0.8771,-889.1535034179688
9,250000,3.1622774e-05,0.8769,-888.9013671875
10,275000,1.7782793e-05,0.8769,-888.7224426269531
11,300000,1.0000001e-05,0.8767,-888.7557983398438
